artist.name,terms,release.name
Orquestra,orchestra,"Trilha Sonora Do Filme ""Garota De Ipanema"
Fiona,chinese music,Sweet Love Vol.5
Hatiras,tech house,Hatiras - Electronic Luv
Eddie Palmieri,salsa,Eddie Palmieri/Lala Rodrigues/Ismael Quintana - Gold 1973-1976
HA-ASH,pop rock,Mundos Opuestos
William Orbit,progressive house,Pieces In A Modern Style
Felix Slatkin/Concert Arts Symphonic Band,exotica,The Military Band - Salute to the Services
Jongo Trio,bossa nova,Jongo Trio
Chris Brown,r&b,Forever
George Nooks,dancehall,RIDDIM DRIVEN - SLOW DOWN THE PACE
Energy,zouk,Energy
Maurane,chanson,Differente
Zagar feat. Underground Divas,future jazz,Wings Of Love Remixes
The Vaughan Brothers,blues-rock,Family Style
Mariano Yanani,lullaby,Babies Go Sting
Thrice,post-hardcore,The Illusion of Safety
Nikki Fletcher / Tim Hughes / Various Artists,modern rock,Lifting High
Bob Dylan,blues-rock,Desire/Blood On The Tracks/Street Legal
Black Tambourine,noise pop,Black Tambourine
Small Faces,rock 'n roll,From The Beginning
Esa Pakarinen,oldies,Esa Pakarinen
Ann Hampton Callaway,vocal jazz,After Ours
Busta Rhymes,hip hop,Anarchy
Black Sheep,reggae,8WM/Novakane
Dj Kun,chill-out,Funky Wacho
Sammi Cheng,cantonese pop,Sammi Shocking Colours Live 2001
FSTZ,dubstep,Tales of the I-Them
Patrick Samson,freakbeat,NA NA HEY HEY
M83,shoegaze,M83
Ken Chu,chinese music,On Ken's Time
Kooii,latin jazz,Beads on a String
Rene Touzet,exotica,The Best Of Rene Touzet (His Piano and  Orchestra)
Junior Kimbrough,delta blues,God Knows I Tried
Alicia Keys,neo soul,Essential-Soul Love
Amorphis,progressive metal,Am Universum
"MichA""le Arnaud",chanson,Disque PathA(c)
Lost Boyz,gangster rap,Love_ Peace & Nappiness
Epitaph,kraut rock,The 21 Century Tour
Shanadoo,europop,Welcome To Tokyo
Moss,future jazz,Balance of Opposites
Pietari Inkinen,hip hop,SIBELIUS_ J.: Night Ride and Sunrise / Belshazzar's Feast Suite / Kuolema (New Zealand Symphony_ Ink
Irma Thomas,delta blues,The Story Of My Life
"MichA""le Bernard",chanson,Mes premiers vinyls
Arkona,black metal,Lepta
Jimi Hendrix,blues-rock,Valleys Of Neptune
Aftermath,gabba,Tides of Sorrow
Willy DeVille,blues-rock,Loup Garou
Anti-Flag,oi,The People or The Gun
Polkaholix,polka,The Great Polka Swindle
David Tao,chinese music,The Great Leap
Scott Wesley Brown,modern rock,The Scott Wesley Brown Collection: A Library of 35 Favorite Songs
Paramore,pop punk,Emergency
Isabel Pantoja,flamenco,Sinfonia De La Copla
Generation X,punk,Valley Of The Dolls
Billy Bragg,urban folk,Billy Bragg Vol.1
Ivan Parker,country gospel,Faithful
DJ Harry,trip hop,Collision
Chris Brown,r&b,Exclusive
Nestor Torres,latin jazz,The Very Best of Nestor Torres
Loudon Wainwright III,modern rock,High Wide & Handsome - The Charlie Poole Project
Michael Card,ccm,80's Ultimate Collection
20/20,power pop,Interstate
Carl Davis,chicago soul,Topsy-Turvy Original Motion Picture Soundtrack
Sizzla,dancehall,Jah Protect
Francis Lai,space age pop,Le cinA(c)ma de Francis Lai
Willie Clayton,chicago soul,Call Me Mr. C
Death From Above 1979,indie rock,Romantic Rights
Tunsi,hip hop,The Omen
Roger Williams,instrumental pop,Almost Paradise
Ian Moore,blues-rock,Kids' Club - Family Songbook
Sasha,progressive house,Good News On A Bad Day
Rita Chiarelli,blues,The Italian Sessions
The Clark Sisters,ccm,The Definitive Gospel Collection
089 Clique feat. Prophet,dirty south rap,Darkside Of M-Town
Madilu System,congo,sans commentaire
Helmet,rapcore,Betty
Chris Eaton,ccm,Wonderful World
Chris Rodriguez,progressive house,Beggar's Paradise
James Darren,brill building pop,Teen-Age Triangle
Olga TaA+-on,merengue,Sobrevivir
The Robert Cray Band,blues-rock,Live From Across The Pond
El Tiempo,los angeles,Tesoros De Coleccion
Pee Wee Crayton,texas blues,Pee Wee Crayton's Is This The Price I Pay?
Palito Ortega,latin pop,Inolvidables RCA - 20 Grandes Exitos
Soul Embraced,christian metal,This Is My Blood
Sportsguitar,pop rock,Happy Already
True Believers,melodic hardcore,In This Place
Killers,rock,Murder One
The Strokes,indie rock,Room On Fire
Alicia Keys,neo soul,The Element Of Freedom
3OH!3,electro,WANT
Charlie Louvin,country gospel,Hoping That You're Hoping
Dave Hollister,motown,Chicago '85...The Movie
Virtue,progressive house,Nothing But The Hits
Two Man Advantage,thrash core,Don't Label Us
Basement Jaxx,progressive house,Jump N' Shout
Alejandro Lerner,pop rock,Volver A Empezar
Franco,soukous,Meine Welt
Boyz II Men,new jack swing,Love
Lady Saw,dancehall,Showtime Juggling
Coco Montoya,blues-rock,Prime Chops Volume Three
UFO,heavy metal,"Parker's Birthday ""Live in Texas"
Los Del Sol,americana,Lambada
Liquid Stranger,dub,The Invisible Conquest
MIMS,pop rap,This Is Why I'm Hot (The Original)
Kristine W.,progressive house,I'll Be Your Light
VinAcius de Moraes,brazilian pop music,20 Grandes Sucessos De Vinicius De Moreas
Kim Wilson,harmonica blues,Smokin' Joint
Jamie Richards,honky tonk,Drive
Trick Trick / Eminem,bass music,Welcome 2 Detroit
Dark Fortress,sympho black metal,SA(c)ance
Eldar,dark ambient,Virtue
Silkie Ft. Harry Craze,uk garage,City Limits Volume 1
The Ataris,pop punk,Welcome The Night
Lou Busch,orchestra,Ultra-Lounge / The Crime Scene - Volume Seven
Stefon Harris,hard bop,Black Action Figure
Pablo Montero,ranchera,Entrega Total... Los Exitos
Yami Bolo,roots reggae,Healing of All Nations
Ray Barretto,latin jazz,A Man And His Music
Michael Card,ccm,The Ultimate Collection
Roger Williams,instrumental pop,Near You
Broadcast,dream pop,Step On It
Sundial Aeon,downtempo,Apotheosis
Noisettes,soundtrack,What's The Time Mr. Wolf
The American Boychoir,j pop,Lullaby - Music for the Quiet Times
David Bowie,dance rock,Heroes
Frank Chacksfield,space age pop,Hit Parade 1953
Anne Dudley,trip hop,The 10th Kingdom
Gustavo Cerati,electronica,AhA Vamos
Roger Clyne & The Peacemakers,roots rock,Sonoran Hope and Madness
Zuma,electro,Rainboy
2 Minutos,skate punk,Un Mundo De Sensaciones
Max Stalling,roots rock,Sell Out - Live at Dan's Silver Leaf
Orbital,techno,In Sides
Robin Beanland,video game music,Banjo-Kazooie: Nuts And Bolts (Original Soundtrack)
Sam Baker,funk,Sugar Man
John Hammond,blues,Bluesman
Jeremy Fisher,folk rock,Goodbye Blue Monday
Ginny Owens,ccm,Charlotte's Web (OST)
Sin Plomo,progressive house,Drizzly House Sessions Vol.2
Fruko Y Sus Tesos,salsa,Greatest Salsa Classics Of Colombia - Vol. 1
Play,teen pop,In My Mind
Roger Reynolds,serialism,Process And Passion
T-Bone,ccm,The Last Street Preacha
Kary Ng,cantonese pop,Collection of Wo De Zui Ai
Bobby Capo,latin jazz,Siempre Boleros - Pasado Y Presente
Semisonic,post-grunge,Feeling Strangely Fine
Nana Caymmi,brazilian pop music,Sem Poupar CoraASSAPSo
Nine Inch Nails,industrial metal,Pretty Hate Machine
Angelo Badalamenti / Patrick Wolf,chill-out,The Edge Of Love
Guitar Slim,r&b,The ATCO Sessions
Otis Spann,piano blues,Blues Masters Vol. 10
Kate Maki,alternative country,Introducing Townes Van Zandt Via The Great Unknown
Yuridia,latin pop,Entre Mariposas
Enuff Z 'Nuff,power pop,One More For The Road
Johannes Linstead,meditation,Kiss The Earth
Al Denson,ccm,With One Voice
Le Vangle,swiss,Tiwanaku
Elakelaiset,parody,In Humppa We Trust-Live!
Converge,hardcore punk,Unloved and Weeded Out
Embrace the End,death core,Ley Lines
Inspiral Carpets,indie rock,Keep The Circle (B-Sides and Udder stuff)
Tito Rodriguez,mambo,En La Soledad
Thomas Dolby,pop rock,The Golden Age Of Wireless
The Who,british invasion,The Kids Are Alright
Line Renaud,chanson,Copacabana
Vilma Palma e Vampiros,cumbia,Vilma Palma e Vampiros_ grandes exitos
Roberto Roena,salsa,Apollo Sound II
Bob Marley & The Wailers,reggae,Kaya
Geier Sturzflug,pop rock,Mahlzeit!
Jars Of Clay,ccm,Peace Is Here: Christmas Reflections by Jars Of Clay
Taking Back Sunday,post-hardcore,New Again
Cinder,post-grunge,House Full Of No Trust
Dijous Paella,rumba,Dijous Paella
MC5,garage rock,Kick Out The Jams
Charlie Peacock,ccm,Love Life
SAF,hardcore hip hop,Safizam
089 Clique feat. Minnesota Snipe & Skinny Cueball,dirty south rap,Darkside Of M-Town
Beatnuts featuring Tony Touch,grime,A Musical Massacre (Explicit)
Porter Wagoner,country gospel,Country Cream Volume 1
Les Ogres De Barback,chanson,Irfan_ le hA(c)ros
Belphegor,black metal,Bondage Goat Zombie
Ray Davies,pop rock,The Kinks Choral Collection By Ray Davies and The Crouch End Festival Chorus
John Holt,lovers rock,1000 Volts Of Holt
Kim English,tribal house,My Destiny
Steve Vai,instrumental rock,Live In London
Jennifer Lopez,dance pop,J.Lo
Outerspace,hip hop,Blood And Ashes
J. Peter Robinson,soundtrack,The World's Fastest Indian
Brian Littrell,ccm,Welcome Home
Mr.De',detroit techno,Renaissance
Wade Ray,western swing,Trains & Cars - A Trip To Rock 'n' Roll Vol. 1
Jay PA(c)rez,tejano,Tesoros De ColecciA3n
Daryl Coley,ccm,Beyond the Veil: Live at Bobby Jones Gospel Explosion XIII
Boogie Pimps Feat. Steve Brookstein,hard house,Promised Land (The German Remixes)
Delroy Wilson,rock steady,The Mighty Two 'In Memoriam'
Fuzz,video game music,Dirty District
Orlando Pops Orchestra,orchestra,Classic Western Themes Vol. 1
Finest Dearest,indie rock,Finest Dearest
Estopa,flamenco,X Anniversarivm
Arctic Monkeys,garage rock,Whatever People Say I Am_ That's What I'm Not
David Arkenstone,celtic,20 Years Of Narada Piano
Barbarito Diez,charanga,La Leyenda Viva!!! La Verdadera Historia
Quincy Jones,bossa nova,Take Five
Edgar Bori,los angeles,Bori
Benga,dubstep,Diary Of An Afro Warrior
AndrA(c) Verchuren,chanson,L'AccordA(c)on du tour de France
London Theatre Orchestra,ragtime,50 Broadway Showstoppers
Selena,tejano,Unforgettable
Snow Patrol,indie rock,Eyes Open
Obie Bermudez,salsa,Solo Exitos
Irwin Goodman,german pop,Keisari Irwin
Baby Rasta & Gringo,reggaeton,Sentenciados - Platinum Edition
Kitaro,chill-out,Kitaro Osaka-Jo Hall Live in 1983
Eri EsittA$?jiA$?,soundtrack,Pride and Prejudice
Emery,screamo,In Shallow Seas We Sail
Alexis HK,chanson,Les Affranchis
Pretty Boy Floyd,glam metal,The Ultimate Pretty Boy Floyd
Major Lazer / Vybz Kartel / Afrojack,dancehall,Pon De Floor
Tin Hat Trio,chamber jazz,The Rodeo Eroded
Seven Mary Three,post-grunge,Backbooth
The Temper Trap,alternative rock,Nu Disco '10
John Debney,pop rock,Chicken Little - Himmel Und Huhn Original Soundtrack (German Version)
Helen Love,power pop,Ahead Of The Race
Jay & The Americans,soft rock,Come A Little Bit Closer
Tanto Metro & Devonte,dancehall,Everyone Falls In Love
Indica,progressive house,Valokeilojen vampyyri
Sunscreem,progressive house,Renaissance The Classics
DA(c)dA(c) Saint-Prix,zouk,Le meilleur de DA(c)dA(c) Saint-Prix (Double album)
Deborah Allen,country rock,That Good Old Gospel Music_ Volume 1
Kiprich,dancehall,Riddim Driven - Bad Bargain
Coldplay,piano rock,Speed Of Sound
Casey Bill Weldon,chicago blues,Casey Bill Weldon Vol. 2 1936-1937
Carmen Y Laura,tejano,The Complete Discos Ideal Recordings_ Vol. 1
Kaizers Orchestra,indie rock,Evig Pint
The Marx Brothers,vaudeville,CinA(c)-Stars: The Marx Brothers
Aiden,post-hardcore,From Hell...With Love
Grandpa Jones,bluegrass,Country Music Hall Of Fame Series: Grandpa Jones
Miguel Migs,progressive house,Colorful You
Protein,post-grunge,SA1/4ss
Schizoid,breakcore,Static Dynamics
Kevin Max,ccm,Holy Night
Charlie Byrd,bossa nova,The Best of the Jazz Guitar
Bloc Party,indie rock,Sellout Sessions 03
George Huff,teen pop,My Christmas EP!
Usher,hip hop,Raymond v Raymond
Midge Ure,pop rock,Move Me+
Vickie Winans,ccm,Vicki Winans
Tin Hat Trio,chamber jazz,The Rodeo Eroded
Spinal Tap,parody,Back From the Dead
Negura Bunget,black metal,OM
Atman,downtempo,Eternal Dance II
Alexandre Desplat,soundtrack,The Ghost Writer
Emperor,heavy metal,Anthems To The Welkin At Dusk
The Smashing Pumpkins,alternative rock,Rotten Apples_ The Smashing Pumpkins Greatest Hits
Patty Griffin,folk-pop,Flaming Red
Rihanna,dance pop,We Ride
Oceansize,post-grunge,New Pin
Head Horny's,hard house,Pray - Single
Daan Junior,kizomba,Dim sa w vle
The Winans,ccm,Great Family of Gospel
Beenie Man,dancehall,Soca Rumble in the Cave
Jackie Davis,soul jazz,Ultra-Lounge / Organs In Orbit  Volume Eleven
Johnny Pacheco,salsa,Early Rhythms
Mighty Mighty Bosstones,ska punk,More Noise And Other Disturbances
Glad,ccm,The A Capella Project II
Orlando Pops Orchestra,orchestra,50 Best Of Big Band
Gerald Clayton,nu jazz,Two-Shade
Pyranja,pop rap,Nie Wieder
Sick Of It All,hardcore punk,Live In A Dive
Van Gelder,progressive trance,Saints & Sinners
Naseebo Lal,italian disco,Dukhi Dil Mera
Blackalicious,hip hop,The Craft
John Davis & Emma Doyle,jazz fusion,Santa Claus Is Coming To Town
Heavenly,power metal,Le Jardin De Heavenly
Richie Ray & Bobby Cruz,salsa,A life time of Hits.. (Live At Centro De Bellas Artes_ San Juan_ Puerto Rico.)
Hot Club Of Detroit,gypsy jazz,Jazz Yule Love II
The Fontane Sisters,europop,Best of 40's and 50's_ Vol. 66
Nick Jonas & The Administration,blues-rock,Who I Am
Jeff Johnson,ccm,The Art of Falling
Mons Leidvin Takle,lullaby,"BerA,ring"
Bukka White,delta blues,American Folk Blues Festival '72
Gang Of Four,dance-punk,A Brief History Of The 20th Century
Peter Hunnigale,lovers rock,Reggae Max - Part 2
The Killers,rock,Rock Hits Workout 45 Minute Continuous Fitness Music Mix. 114Bpm  152Bpm For Jogging_ Cycling_ Spin
Circle Jerks,hardcore punk,Group Sex
Barbara Fairchild,country gospel,Stories
Candlebox,post-grunge,Into The Sun [Explicit]
Tyrone Davis,chicago soul,Relaxin' With Tyrone
The Panic Channel,post-grunge,(ONe)
Jo-El Sonnier,bluegrass,Cajun Hymns
Jimmy Page_ John Paul Jones_ Albert Lee_ Nicky Hopkins_ Big Jim Sullivan_ Clem Cattini_ Chris Hughes,british blues,No Introduction Necessary
Michael Whalen,meditation,Great African Moments
Elton Britt,honky tonk,Elton Britt: Ridin With Elton
Ice,dub,N Ster Vir My
Jean Fauque,los angeles,13 Aurores
"Bobby ""Blue"" Bland",soul blues,Blues At Midnight
Between The Buried And Me,alternative metal,Colors
Reginaldo Bessa,samba,Amor en Bossa Nova
Faithless,progressive house,Faithless Live In Cannes EP
Hellsongs,twee pop,Hymns In The Key Of 666
Santana,blues-rock,Tropical Spirits Parts I & II
Charley Pride,honky tonk,Super Hits
3 Doors Down,post-grunge,Another 700 Miles
THE CHIFFONS,doo-wop,Sweet Talkin' Girls: The Best Of The Chiffons
KA(c)kA(c)lA(c),soukous,Rumba Congo
Little Junior Parker,soul blues,The Earls Of Duke
Cybertribe,chill-out,Sacred Memories
Seventh Star,christian hardcore,The Undisputed Truth
Incubus,funk metal,Live in Japan 2004
Dishwalla,post-grunge,Live&Greetings From the Flow State
Marco Polo,turnablism,Shitzzo EP
Beenie Man,dancehall,Stack and Pile
Mariano Yanani,lullaby,Babies Go U2
Brian Keane,world beat,Andy Warhol: A Documentary Film
Naseebo Lal,italian disco,Ek Pardesi
Laurie Berkner,death core,Buzz Buzz
Robin Fox,breakbeat,I See Stars - The Trance Album
Adam Ant,pop rock,Friend Or Foe
Statues,power pop,Aux
Rusted Shut,modern rock,Rehab
Happy Mondays,alternative dance,Squirrel And G-Man Twenty Four Hour Party People Plastic Face Carnt Smile
John Mayer,rock,Room For Squares
Pascal Sangla,french pop,Une petite pause
Marilyn Horne,opera,Handel Edition Volume 4 - Samson_ Messiah & Arias from Rinaldo_ Serse etc
Daddy Yankee,reggaeton,Talento De Barrio
Janet Paschal,southern gospel,Songs For A Lifetime
Sergio Mendes,samba,WHAT THE WORLD NEEDS NOW IS BURT
Blue Rodeo,country rock,The Things We Left Behind
John Brown,hard trance,Suburban Empire
Weezer,pop rock,Raditude
Hadag Nahash,hip hop,Hadag Nahash - LIVE
Bad Brains,hardcore punk,Rock For Light
Lords Of The Underground,hip hop,Here Come the Lords
Trivium,alternative metal,Shogun
Mary Black,country rock,25 Years/25 Songs
Aiden,post-hardcore,Knives
Mark Lowry,ccm,Remotely Controlled
Mikey Dread,roots reggae,Jungle Signal
RyanDan,neoclassical,Ryan Dan
Faithless,progressive house,Ibiza 1991 - 2009
Selena,tejano,Todos Mis Exitos Vol. 2
Marquez the Greatest,stand-up comedy,Under the Influence
Drowning Pool,post-grunge,Full Circle
Kent,post-grunge,Kent
Los AutA(c)nticos Decadentes,cumbia,12 Vivos
CafA(c) Quijano,pop rock,La Extraordinaria Paradoja Del Sonido Quijano
Eminem,hip hop,Without Me
The Sun Harbor's Chorus-Documentary Recordings,patriotic,America's bugle calls
Lily Allen,ska,It's Not Me_ It's You (Special Edition)
Madonna,dance pop,Revolver
Roy Buchanan,blues-rock,20th Century Masters: The Millennium Collection: Best Of Roy Buchanan
Juan Carmona,flamenco,Borboreo
Mayday,folk-pop,Morgarot
Charles Williams,latin jazz,Dramatic Story
Sun Yan-Zi,chinese music,Kite
Maurice Chevalier / FranASSoise Dorin / Marina Hottine / Suzanne Gabriello / Jo Charrier / Marcel Carpentier / Perrette Souplex / Andree Grandjean / Cadet Rivers / Raymond Girerd / Orchestre De Jacques-Henri Rys / Jacques Henri Rys,chanson,ChristinA(c): Dede
Ray Price,honky tonk,Karaoke: Country Super Stars - Singing to the Hits
Art Ensemble Of Chicago,free jazz,Sirius Calling
Swim,rock,Bodhisattva
Negura Bunget,black metal,Maiastru Sfetnic
Buddy Miles,blues-rock,Best Of Buddy Miles
Bobbie Gentry,country blues,Local Gentry
Busdriver,alternative hip hop,Ellen Disingenuous
Brenda Lee,ballad,Little Miss Dynamite
Herbert  von Karajan,opera,Karajan: Stravinsky - Oedipus Rex; Bruckner - Te Deum
Eddy Arnold,honky tonk,HEP CAT BABY
Gisselle,merengue,Atada
DJ Harry,trip hop,The String Cheese Remix Project
MC Sadri,hip hop,Von der Strasse fA1/4r die Strasse
Weedeater,stoner metal,And Justice for Y'all
Mira,shoegaze,New Hope for the Dead
Mel Blanc,easy listening,Greatest Hits
Paul Carrack,blue-eyed soul,Groove Approved
Tyrone Taylor,lovers rock,Reggae Max
Elvenking,folk metal,Wyrd
The Irish Rovers,irish folk,Live In Concert
William Coulter,celtic,The Road Home
At The Gates,death metal,Gardens Of Grief
Neil Diamond,soft rock,The Jazz Singer Original Songs From The Motion Picture
Special Duties,oi,'77 In '97
The Refreshments,post-grunge,Both Rock 'N' Roll
Johnny Horton,country rock,Replay: Johnny Horton
Kane,blues-rock,As Long As You Want This
Bomb Squad,funk rock,Before The L.O.X.
Les Hou-Lops,freakbeat,XL60 Remix-Jeunesse 1
Eastmountainsouth,alternative country,Eastmountainsouth
:Blacks On :Blondes,ghetto tech,Travel Without Leaving The Bed
Richard Hell & The Voidoids,no wave,Blank Generation
Love Jones,bossa nova,Here's To The Losers
V'ro,zouk,Soul Zouk
Kings Of Leon,southern rock,Because Of The Times
Charlie Peacock,ccm,West Coast Diaries Vol.1-cass.
The Gone Jackals,blues-rock,Bone To Pick
Nightwish,sympho black metal,Dark Passion Play
Shinehead,dancehall,Total Reggae: Island Vibes
From Dying Skies,post-hardcore,The Lakeshore
Wailing Souls,roots reggae,Firehouse Rock
Turibio Santos,choro,O ViolAPSo Brasileiro de TurAbio Santos
David Phelps,ccm,One Wintry Night
Steinski,hip hop,What Does It All Mean? - 1983-2006 Retrospective
Eddy Raven,zydeco,20 Favorites
Tranzas,salsa,Por Siempre
Klaus Badelt,chill-out,The Time Machine
JK,eurodance,Hit my heart
Dub Pistols feat. TK,big beat,Rum & Coke
Aiden,post-hardcore,Conviction
DJ Envy,gangster rap,The Desert Storm Mixtape: DJ Envy Blok Party Vol. 1
Albert Ayler,free jazz,Bells / Prophecy
Perfection,eurodance,Perfection
Fred Simon,meditation,A Jazzy Wonderland
Tony Joe White,country rock,Album 95
Terror Squad / Remy / Prospect / Armageddon,hip hop,True Story
